i,k,error,var,max_erate
1,26,0.08,1.25010101010101e-4,0.16
2,3,0.06,9.877777777777775e-5,0.1
3,26,0.1,4e-4,0.19
4,9,0.11,1.66020202020202e-4,0.17
5,9,0.1,2.4140404040404046e-4,0.19
6,16,0.04,1.704646464646465e-4,0.13
7,2,0.14,8.908080808080814e-5,0.19
8,23,0.08,1.707070707070707e-4,0.14
9,38,0.06,2.1085858585858584e-4,0.14
10,13,0.03,1.0339393939393938e-4,0.11
11,4,0.09,1.1559595959595961e-4,0.18
12,14,0.08,1.8804040404040408e-4,0.16
13,66,0.06,1.0031313131313128e-4,0.11
14,8,0.09,5.591919191919191e-5,0.13
15,10,0.06,1.8281818181818178e-4,0.16
16,12,0.06,2.3535353535353531e-4,0.16
17,8,0.05,1.6933333333333337e-4,0.14
18,17,0.05,1.634242424242424e-4,0.12
19,13,0.09,1.2334343434343434e-4,0.19
20,90,0.07,3.517070707070707e-4,0.16
21,14,0.06,2.9788888888888893e-4,0.17
22,19,0.04,3.3115151515151516e-4,0.13
23,73,0.03,4.878686868686869e-4,0.14
24,4,0.13,1.2544444444444444e-4,0.19
25,74,0.02,2.2798989898989902e-4,0.11
26,21,0.06,2.704949494949495e-4,0.14
27,4,0.13,5.506060606060606e-5,0.16
28,5,0.11,1.3660606060606067e-4,0.18
29,58,0.07,1.3773737373737376e-4,0.13
30,36,0.09,1.8185858585858584e-4,0.15
31,48,0.1,3.3838383838383847e-4,0.18
32,45,0.03,1.1135353535353536e-4,0.08
33,3,0.07,2.4576767676767676e-4,0.15
34,42,0.02,1.993838383838384e-4,0.1
35,3,0.09,1.0909090909090912e-4,0.13
36,90,0.02,1.4630303030303032e-4,0.1
37,34,0.09,3.28030303030303e-4,0.22
38,4,0.1,1.0076767676767679e-4,0.17
39,55,0.05,3.939393939393939e-4,0.12
40,39,0.06,4.0024242424242416e-4,0.15
41,10,0.1,2.2920202020202028e-4,0.17
42,12,0.11,9.384848484848494e-5,0.16
43,20,0.11,3.421717171717172e-4,0.26
44,2,0.09,1.3074747474747477e-4,0.16
45,2,0.08,9.393939393939396e-5,0.12
46,1,0.06,1.2096969696969698e-4,0.11
47,12,0.06,1.5620202020202018e-4,0.15
48,11,0.1,1.3829292929292935e-4,0.16
49,31,0.06,2.466565656565657e-4,0.15
50,3,0.08,2.343434343434344e-4,0.14
51,5,0.03,9.983838383838384e-5,0.09
52,4,0.14,1.1211111111111109e-4,0.19
53,34,0.04,3.5857575757575763e-4,0.16
54,30,0.09,3.5410101010101015e-4,0.2
55,20,0.1,1.0460606060606066e-4,0.15
56,12,0.08,5.2717171717171756e-5,0.11
57,17,0.13,3.205656565656566e-4,0.24
58,5,0.09,7.034343434343437e-5,0.14
59,11,0.06,5.433333333333333e-5,0.09
60,5,0.06,7.67676767676768e-5,0.13
